week_start_date,week_end_date,employee_id,credits_used,sessions
29-12-2025,04-01-2026,NSF100034,"{""total_credits"":28,""Chat"":{""total_credits"":25,""LLM-instant"":19,""LLM-thinking"":5,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100039,"{""total_credits"":31,""Chat"":{""total_credits"":29,""LLM-instant"":22,""LLM-thinking"":6,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100041,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100044,"{""total_credits"":19,""Chat"":{""total_credits"":17,""LLM-instant"":14,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100047,"{""total_credits"":18,""Chat"":{""total_credits"":16,""LLM-instant"":12,""LLM-thinking"":3,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100049,"{""total_credits"":34,""Chat"":{""total_credits"":29,""LLM-instant"":24,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":5,""LLM-instant"":2,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100050,"{""total_credits"":16,""Chat"":{""total_credits"":14,""LLM-instant"":11,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100052,"{""total_credits"":35,""Chat"":{""total_credits"":31,""LLM-instant"":23,""LLM-thinking"":4,""LLM-pro"":4},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",10
29-12-2025,04-01-2026,NSF100054,"{""total_credits"":26,""Chat"":{""total_credits"":24,""LLM-instant"":17,""LLM-thinking"":6,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100056,"{""total_credits"":17,""Chat"":{""total_credits"":15,""LLM-instant"":12,""LLM-thinking"":2,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100057,"{""total_credits"":64,""Chat"":{""total_credits"":60,""LLM-instant"":46,""LLM-thinking"":14,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",9
29-12-2025,04-01-2026,NSF100062,"{""total_credits"":33,""Chat"":{""total_credits"":29,""LLM-instant"":23,""LLM-thinking"":6,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":2,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",8
29-12-2025,04-01-2026,NSF100066,"{""total_credits"":14,""Chat"":{""total_credits"":12,""LLM-instant"":10,""LLM-thinking"":2,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100068,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100069,"{""total_credits"":25,""Chat"":{""total_credits"":23,""LLM-instant"":18,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100070,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100071,"{""total_credits"":32,""Chat"":{""total_credits"":27,""LLM-instant"":22,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":5,""LLM-instant"":2,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100073,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100080,"{""total_credits"":24,""Chat"":{""total_credits"":21,""LLM-instant"":18,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100084,"{""total_credits"":27,""Chat"":{""total_credits"":21,""LLM-instant"":13,""LLM-thinking"":6,""LLM-pro"":2},""Excel"":{""total_credits"":6,""LLM-instant"":1,""LLM-thinking"":3,""LLM-pro"":2},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100088,"{""total_credits"":35,""Chat"":{""total_credits"":31,""LLM-instant"":23,""LLM-thinking"":7,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",5
29-12-2025,04-01-2026,NSF100101,"{""total_credits"":34,""Chat"":{""total_credits"":30,""LLM-instant"":24,""LLM-thinking"":6,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100102,"{""total_credits"":1,""Chat"":{""total_credits"":1,""LLM-instant"":1,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100103,"{""total_credits"":22,""Chat"":{""total_credits"":19,""LLM-instant"":16,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",4
29-12-2025,04-01-2026,NSF100106,"{""total_credits"":18,""Chat"":{""total_credits"":16,""LLM-instant"":13,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100109,"{""total_credits"":17,""Chat"":{""total_credits"":15,""LLM-instant"":11,""LLM-thinking"":3,""LLM-pro"":1},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",1
29-12-2025,04-01-2026,NSF100110,"{""total_credits"":59,""Chat"":{""total_credits"":53,""LLM-instant"":34,""LLM-thinking"":13,""LLM-pro"":6},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":2,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":1}}",7
29-12-2025,04-01-2026,NSF100115,"{""total_credits"":7,""Chat"":{""total_credits"":6,""LLM-instant"":4,""LLM-thinking"":1,""LLM-pro"":1},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100116,"{""total_credits"":10,""Chat"":{""total_credits"":9,""LLM-instant"":6,""LLM-thinking"":2,""LLM-pro"":1},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100118,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100121,"{""total_credits"":13,""Chat"":{""total_credits"":12,""LLM-instant"":9,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100124,"{""total_credits"":19,""Chat"":{""total_credits"":17,""LLM-instant"":14,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100126,"{""total_credits"":56,""Chat"":{""total_credits"":51,""LLM-instant"":38,""LLM-thinking"":12,""LLM-pro"":1},""Excel"":{""total_credits"":5,""LLM-instant"":2,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100127,"{""total_credits"":25,""Chat"":{""total_credits"":23,""LLM-instant"":18,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100128,"{""total_credits"":36,""Chat"":{""total_credits"":32,""LLM-instant"":22,""LLM-thinking"":9,""LLM-pro"":1},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",6
29-12-2025,04-01-2026,NSF100129,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100130,"{""total_credits"":29,""Chat"":{""total_credits"":24,""LLM-instant"":17,""LLM-thinking"":5,""LLM-pro"":2},""Excel"":{""total_credits"":5,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":2},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100131,"{""total_credits"":86,""Chat"":{""total_credits"":78,""LLM-instant"":61,""LLM-thinking"":15,""LLM-pro"":2},""Excel"":{""total_credits"":7,""LLM-instant"":2,""LLM-thinking"":4,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",5
29-12-2025,04-01-2026,NSF100133,"{""total_credits"":27,""Chat"":{""total_credits"":24,""LLM-instant"":14,""LLM-thinking"":8,""LLM-pro"":2},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100137,"{""total_credits"":12,""Chat"":{""total_credits"":11,""LLM-instant"":9,""LLM-thinking"":1,""LLM-pro"":1},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100138,"{""total_credits"":13,""Chat"":{""total_credits"":12,""LLM-instant"":10,""LLM-thinking"":2,""LLM-pro"":0},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100139,"{""total_credits"":50,""Chat"":{""total_credits"":44,""LLM-instant"":37,""LLM-thinking"":4,""LLM-pro"":3},""Excel"":{""total_credits"":5,""LLM-instant"":2,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",4
29-12-2025,04-01-2026,NSF100140,"{""total_credits"":60,""Chat"":{""total_credits"":51,""LLM-instant"":41,""LLM-thinking"":9,""LLM-pro"":1},""Excel"":{""total_credits"":8,""LLM-instant"":3,""LLM-thinking"":3,""LLM-pro"":2},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",6
29-12-2025,04-01-2026,NSF100141,"{""total_credits"":53,""Chat"":{""total_credits"":48,""LLM-instant"":34,""LLM-thinking"":7,""LLM-pro"":7},""Excel"":{""total_credits"":5,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":2},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",10
29-12-2025,04-01-2026,NSF100142,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100143,"{""total_credits"":36,""Chat"":{""total_credits"":32,""LLM-instant"":26,""LLM-thinking"":6,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":2,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100145,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100146,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100147,"{""total_credits"":27,""Chat"":{""total_credits"":23,""LLM-instant"":18,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100149,"{""total_credits"":11,""Chat"":{""total_credits"":9,""LLM-instant"":6,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100150,"{""total_credits"":41,""Chat"":{""total_credits"":36,""LLM-instant"":29,""LLM-thinking"":6,""LLM-pro"":1},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0}}",6
29-12-2025,04-01-2026,NSF100152,"{""total_credits"":32,""Chat"":{""total_credits"":28,""LLM-instant"":23,""LLM-thinking"":5,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100154,"{""total_credits"":22,""Chat"":{""total_credits"":20,""LLM-instant"":17,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",4
29-12-2025,04-01-2026,NSF100155,"{""total_credits"":21,""Chat"":{""total_credits"":19,""LLM-instant"":16,""LLM-thinking"":2,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
29-12-2025,04-01-2026,NSF100156,"{""total_credits"":25,""Chat"":{""total_credits"":23,""LLM-instant"":18,""LLM-thinking"":4,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100159,"{""total_credits"":40,""Chat"":{""total_credits"":33,""LLM-instant"":24,""LLM-thinking"":7,""LLM-pro"":2},""Excel"":{""total_credits"":7,""LLM-instant"":2,""LLM-thinking"":3,""LLM-pro"":2},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",10
29-12-2025,04-01-2026,NSF100164,"{""total_credits"":20,""Chat"":{""total_credits"":16,""LLM-instant"":13,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",3
29-12-2025,04-01-2026,NSF100166,"{""total_credits"":17,""Chat"":{""total_credits"":16,""LLM-instant"":13,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100167,"{""total_credits"":40,""Chat"":{""total_credits"":34,""LLM-instant"":25,""LLM-thinking"":7,""LLM-pro"":2},""Excel"":{""total_credits"":6,""LLM-instant"":2,""LLM-thinking"":3,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",9
29-12-2025,04-01-2026,NSF100171,"{""total_credits"":19,""Chat"":{""total_credits"":15,""LLM-instant"":12,""LLM-thinking"":2,""LLM-pro"":1},""Excel"":{""total_credits"":4,""LLM-instant"":2,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100172,"{""total_credits"":51,""Chat"":{""total_credits"":45,""LLM-instant"":32,""LLM-thinking"":10,""LLM-pro"":3},""Excel"":{""total_credits"":6,""LLM-instant"":1,""LLM-thinking"":3,""LLM-pro"":2},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",6
29-12-2025,04-01-2026,NSF100173,"{""total_credits"":31,""Chat"":{""total_credits"":28,""LLM-instant"":22,""LLM-thinking"":6,""LLM-pro"":0},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100175,"{""total_credits"":21,""Chat"":{""total_credits"":18,""LLM-instant"":15,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",2
29-12-2025,04-01-2026,NSF100176,"{""total_credits"":4,""Chat"":{""total_credits"":3,""LLM-instant"":2,""LLM-thinking"":1,""LLM-pro"":0},""Excel"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
